Q,Counter
7641.219,3109.924
7788.49,3234.08
7952.366,3299.989
8112.667,3410.601
8283.495,3519.18
8443.329,3589.723
8613.772,3734.297
8696.519,3856.574
8872.123,3987.601
9082.728,4076.935
9249.943,4183.264
9453.029,4354.466
9626.998,4426.111
9821.082,4603.057
10001.56,4734.578
10202.86,4875.48
5486.646,2786.735
2332.868,2425.132
2351.012,2525.45
2388.513,2578.924
2493.472,2697.494
2592.598,2805.622
2652.493,2921.741
2789.65,2976.112
2897.08,3117.785
3022.812,3237.679
3115.799,3366.202
3232.268,2869.185
3357.341,2992.765
3250.687,3745.599
3018.942,3893.314
3741.154,3971.718
3873.745,4131.867
3972.241,4264.5
4110.516,4419.804
4265.188,4572.421
4370.542,4715.003
4545.579,4867.755
4690.493,5031.176
4867.188,5191.063
4992.65,5354.512
5146.496,5529.221
5333.803,5700.063
5494.701,5858.572
5674.666,6069.337
5850.482,6268.689
6021.727,6472.649
6221.539,6576.358
6408.546,6769.559
6599.251,6984.85
6704.862,7177.174
6955.66,7429.993
7157.098,7553.957
7343.636,7786.629
7591.04,8004.267
7804.761,8236.288
8012.56,8504.176
8234.239,7247.867
7106.269,6643.875
5270.039,6707.6
4680.724,6912.088
4183.935,7020.5
3818.142,7268.75
3435.947,7494.579
3344.417,7735.085
3300.537,7911.611
3251.037,8131.236
2950.879,8360.354
3005.608,8538.756
3072.994,8872.679
3143.212,8907.718
2946.717,9339.742
3298.421,9506.569
3365.718,9766.311
3145.107,10019.22
3512.807,10264.73
3592.069,10526.29
3628.195,10816.8
3701.186,11125.29
3809.194,11351.14
3890.404,11631.57
3929.077,11903.8
4026.444,12207.13
4106.249,12570.11
4191.684,12747.59
4278.813,13093.91
4359.843,13461.16
4450.209,13806.68
